,ID,post
0,1,"991 homes were lost in the Marshall fire, one of the worst wildfires in Colorado history."
1,2,"Breaking News: Dozens of antigovernment protesters were killed in Kazakhstan, the police said, as Russian-led troops tried to restore order. Follow our updates."
2,3,Rep. Liz Cheney was the only Republican leader telling Donald Trump to move on from the election in early 2021.
3,4,"In the wake of the Jan. 6 attack on the Capitol, Republican leaders had an opportunity to break cleanly with Donald Trump as Democrats moved to impeach him. But one year later, Trump still has a continued grip on the Republican Party."
4,5,"President Biden plans to call on the U.S. to recommit itself to a peaceful democracy, warning that it remains at risk a year after a pro-Trump mob stormed the Capitol."
5,6,"For years, someone has been stealing hundreds of unpublished manuscripts by impersonating editors, authors, agents and scouts. On Wednesday, the FBI arrested Filippo Bernardini, an Italian citizen who worked at a major publisher."
6,7,"Xi’an, a city of 13 million people, has been under lockdown since Dec. 22, the longest in China since the first lockdown in Wuhan."
7,8,"A new real-world study, which has not yet been peer-reviewed, suggests that two widely used rapid antigen tests may fail to detect some Omicron cases in the first days of infection."
8,9,Japan asked the U.S. to impose lockdowns on its military bases in the country amid a jump in Covid cases linked in part to outbreaks among American service members.
9,10,"In Italy, a proposal to include a female philosopher, Cornaro Piscopia, in a monument whose 78 sculptures are all men has spurred debate."
10,11,"Breaking News: President Biden is expected to give a speech today warning Americans that peaceful democracy is at risk, one year after the Jan. 6 Capitol riot."
11,12,"Even as the U.S. has moved rapidly to expand who is eligible for boosters, progress in persuading people to get them has stalled. Only about 35% of Americans have received a booster since mid-August."
12,13,"Novak Djokovic had received a medical exemption to Australia’s vaccine requirements, a move which stirred anger in the country. Then he was stopped at the border."
13,14,"A North Korean ex-gymnast managed to cross the DMZ and reach South Korea in 2020. On New Year’s Day, officials say, he climbed over the same fences and returned to the North."
14,15,In The New York Times Opinion Section 
15,16,"Dozens of anti-government demonstrators in Kazakhstan had been killed and hundreds injured by the authorities, the police reported, after a night of protests turned violent. A Russia-led military alliance began sending paratroopers as part of a peacekeeping operation."
16,17,Here's a look at some of the highlights worth watching from late-night TV.
17,18,"Dangerous levels of two air pollutants, ozone and smoke, are occurring together more frequently as wildfires and extreme heat worsen over widespread parts of the Western U.S. Researchers suggest the increase is linked to climate change."
18,19,"Three minutes of a home movie from 1938, the subject of a new documentary, depict Jewish life in a Polish town just before the Nazi invasion."
19,20,"Just months after Delta fueled hospital failures and funeral pyres, India’s leaders again offer a mixed message: Their political rallies are packed even as they order curfews and work closures."
20,21,"As part of its investigation into the attack on the Capitol on January 6, 2021, the House of Representatives commission seeks evidence of any offence the Department of Justice may not have discovered. This is what we know."
21,22,"The United States Postal Service says it wants an exemption to the federal vaccine-or-test mandate because it could hinder its ability to deliver mail. The rule could have a “catastrophic” effect on delivery, the deputy postmaster general said."
22,23,Thousands of protesters have taken to the streets of Kazakhstan in recent days as fuel prices surge in the oil-rich Central Asian country. Here's what to know about the biggest crisis to shake the autocratic country in decades.
23,24,"According to analysts, the advances from the left in Colombia and Brazil could make it difficult for the United States to continue isolating the authoritarian leftist regimes in Venezuela, Nicaragua and Cuba."
24,25,"Eric Dickerson, the Hall of Fame former running back, spoke with our reporter about why some retired NFL players despise the league and his assumption that he has CTE. ""Sometimes I have a short fuse and sometimes I don’t,"" he said."
25,26,"Dangerous levels of two air pollutants, ozone and smoke, are occurring in tandem with increasing frequency over widespread parts of the Western U.S. where millions of people live, researchers said Wednesday."
26,27,Employees at the only company-owned Starbucks store that is unionized staged a walkout to protest what they say are unsafe working conditions.
27,28,President Emmanuel Macron of France said Wednesday that he wanted to anger millions of his citizens who refuse to get vaccinated by squeezing them out of the country’s public spaces.
28,29,"Mayor Jim Kenney of Philadelphia seemed almost at a loss for words. “This is, without a doubt, one of the most tragic days in our city’s history,” he said. “Losing so many kids is just devastating.”"
29,30,"Audie Cornish, a host of NPR’s ""All Things Considered,"" is leaving her job, becoming the latest prominent journalist of color to leave the public broadcaster."
30,31,The CDC has repeatedly failed to give clear coronavirus recommendations. Who’s to blame is a matter of debate.
31,32,"A woman in Georgia who fraudulently obtained more than $6 million in Covid relief money was sentenced to more than three years in prison, the Justice Department said. It is the latest example of Americans misusing the Paycheck Protection Program."
32,33,"The Italian government made Covid-19 vaccination mandatory for people 50 and older and approved rules that prevent the unvaccinated from entering businesses, including banks, post offices and some stores."
33,34,"Yisroel Goldstein, a rabbi who was shot and wounded during a deadly attack on his synagogue north of San Diego in 2019, was sentenced to 14 months in prison for engaging in yearslong, multimillion-dollar fraud schemes."
34,35,"Jimmy Carter writes in The New York Times Opinion Section: ""I now fear that what we have fought so hard to achieve globally — the right to free, fair elections, unhindered by strongman politicians who seek nothing more than to grow their own power — has become dangerously fragile at home."""
35,36,In The New York Times Opinion Section 
36,37,Ten House Republicans voted to impeach Donald Trump with inciting the Capitol attack. All of them are still struggling with the consequences. It is those who stood against him whom the party has thrust into the role of pariah.
37,38,"Robert Reeder told the FBI that he went to Washington on Jan. 6, 2021, because “I just didn’t have anything better to do.” So how did he join a violent mob that included members of far-right extremist groups in breaching the Capitol? Listen to The Daily. https://nyti.ms/331boWC"
38,39,Federal prosecutors have asked the judge who oversaw Ghislaine Maxwell’s trial to investigate the process by which one of the jurors was chosen after he revealed that he had discussed his experience as a sexual abuse victim during deliberations.
39,40,"Philadelphia authorities said there were 26 people in the two-unit rowhouse that burned early Wednesday. 13 people have been confirmed dead, including seven children. https://nyti.ms/3zCs6YI"
40,41,"Novak Djokovic was told to leave Australia following a 10-hour standoff with government officials at a Melbourne airport, ending his chance to defend his Australian Open title."
41,42,"He has multiple YouTube channels, cable television shows and plays with toys during live appearances. At just 10 years old, Ryan Kaji, whose YouTube channels make up ""Ryan's World,"" has turned his daily videos into a multimillion-dollar empire."
42,43,Gov. Kathy Hochul of New York said Wednesday that she would propose spending $10 billion to help rebuild a health care work force exhausted and depleted by the pandemic. https://nyti.ms/33aSCMI
43,44,"As the Omicron variant continues to spread, many more people will contract Covid-19."
44,45,"For years, someone has been stealing hundreds of unpublished manuscripts by impersonating editors, authors, agents and scouts. Today, the FBI arrested Filippo Bernardini, an Italian citizen who worked at a major publisher."
45,46,"J. Thomas Manger, the chief of the U.S. Capitol Police, told the Senate Rules Committee that the agency would put in place more than 100 recommendations for improvement made by its inspector general in the wake of the Capitol attack."
46,47,Listen as we explore an FBI interrogation with a participant in the Jan. 6 Capitol riot in the first of three episodes of The Daily examining the state of American democracy one year later. https://nyti.ms/3FXOjTq
47,48,"Attorney General Merrick Garland vowed on Wednesday that the Justice Department would pursue its inquiry into the Capitol riot “at any level,” saying he would defend democratic institutions from attack and threats of violence. https://nyti.ms/337cZtP"
48,49,Breaking News: A Russian-led military alliance said that it would send peacekeeping forces to Kazakhstan to help put down growing protests.
49,50,"In her first State of the State address, Gov. Kathy Hochul announced a $10 billion pledge to fortify New York’s health care work force and outlined her economic recovery plan. https://nyti.ms/3HAUCMY"
