,media name,media,post,link,time
0,BuzzFeed News,BuzzFeedNews,"For people under guardianship, like Britney Spears, the system can be dehumanizing, dangerous, and even deadly. For the professionals — who can control hundreds of people at a time — it can be very profitable.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fheidiblake%2Fconservatorship-investigation-free-britney-spears%3Fbffbuzzfeednews%26utm_term%3D4ldqpho%26fbclid%3DIwAR0vE0OnWEl-uBgGlRiE-1Y9ISWS1m4FFVJkUq8txewRpXxUpNsXWHbCHm8%234ldqpho&h=AT2AVwzl0l0RbwRjaB9Sfng-Hh2UY_2Tguq-qeNoMYlelk71tI4fl7hLbkie9dm0ynaVBofACcqj3obqXDxzYVj9tisvz2nwMIZ7os2FPyavmoVcul6hZ_xGjGZ2HGTf8hANI-ZloUWJjK3DRi8I&__tn__=%2CmH-R&c[0]=AT0VlnR_irIaMDxwkKXsXOKjBYANh-4jz8iG_oBlHMEaS0Cn2fxOvyR8wvlaEDDrmR0a03DHXZzLKMGT_C84O3XQKUT7tJwjvc51CvDlbyyarVsK2OK-DCJ2kx1KuScU5tsZdujaEd90ZZ8n8AtXQFBXZx4Lnh0-Uq5GfP82AoAHO0I,0.0
1,BuzzFeed News,BuzzFeedNews,"“The close ties across the country means it isn't hard for things to spread – whether that be gossip, word games, or good public health measures to keep us safe during a pandemic.”",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fstefficao%2Fhow-wordle-went-viral-strategy%3Fd_id%3D3055328%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR1q5K73IWk1d-3ybLpIxKYzKdoffYqn0MskpLxJDl5bGaOhd00hfwHdlgg&h=AT1sEzop5_D19YBK7tjppkraD2Efh3UKn7ScQbTA_19rOpLZM5xoppm1LogIfy9mcAWIIM28r61K5LxLwvM-0Iak-V5eYpTU6-mCJka4p_XQZ8Sj1VSYNHN-7H5Wmfp7IulndMX9OxIXx29QimtC&__tn__=%2CmH-R&c[0]=AT3Mnm5aWuN3GIMQViCm3phdFTBDnptu7qxgi0NceAWlxCmPpEcyyyib3fW37NYG2qn_ZuKFsckMWDLJ2XYEWd-hM0Sdc4dTbH5g2YDVPdFAYiZ_Fbq3rZn9q7C-23-lfmRNjXz4LN0AuujdyY4yMiP4X8MVd_CqxSWkt_bVVBxTDBo,0.0
2,BuzzFeed News,BuzzFeedNews,"One hostage was released early Saturday evening after being held inside Congregation Beth Israel, a synagogue in Colleyville, Texas.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Femersonmalone%2Ftexas-synagogue-hostage-beth-israel-colleyville%3Fd_id%3D3055237%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR0yzY5LGKP0yTxSIPbjwzb598HdOPLijKkcFDsHl_2ofEW5joZqTdBptLU&h=AT2dUdy0LTiAQYw-TZPj4tHkiClgWrGOl1McB6cBxlQDlJtFCaTbQ21vLqSr0O3XZYlAdgPYBsb91kZipuOuDROK7hkioQsQ9YXYE2CFEECzAIV3lg0HkxMwAa3kWWGqTvlajjtQaxwW2IaLEQfj&__tn__=%2CmH-R&c[0]=AT04tQpV_MsCV2UnJqMj3tqTembYfivUqyYmdG8N56pC4RWlW3ehcaUb_0BHEVDTCJwrPpLKnb6aAyDDMQGiUmldoOqSIJAilS848gSdgkZgJIL4GHnZ3d4j4lLj3M9zac9F6POi9z6QNRcX9OyFpQdJl-rZitZTtctLB8jl6DZYLAQ,
3,BuzzFeed News,BuzzFeedNews,"""This was a senseless, absolutely senseless, act of violence.""",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Femersonmalone%2Fasian-woman-pushed-nyc-subway%3Fd_id%3D3054942%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR18_SLRpijAOG-CXyY94dWsBAH6-kVglM3c2Qnb8PuPQ8EpELhESflw99Y&h=AT2K5J0yT9r-jpg67hulnwVRR5zBIoEU1cIpZKuF7nCP0AArc6MxCvHQ3PIcP6p5xr1QOvTfY7o3KCfz_1iI55JmKCOyFz-SHAcVNIb8XzqUNWUY-55tErLBjNo6tWQE2G0EAIUsodFaERyd3brB&__tn__=%2CmH-R&c[0]=AT18WaSgs8T2RJlOpcBBO4jckozzmwHxRnvKYPAwHC3UlqdNHblC5p-1qq40_1DqJD5yqdqkwgc6eorgRiun1zeBVj4vCGggz1qcSL1vNzEvAZr55dGjGnJNpr8e8WxfgBsIH3k0B1_jbfltME2xekBNt5PqUJ-AXMm-UXfxLFcrGAQ,
4,BuzzFeed News,BuzzFeedNews,"Satellite footage showed a massive plume of ash and smoke and atmospheric shock waves following the Hunga Tonga–Hunga Haʻapai underwater volcano near Tonga erupting. The boom was reportedly heard as far away as New Zealand (more than 1,200 miles away) and Anchorage, Alaska (more than 5,800 miles away). Footage from Tonga residents showed a swift, violent ocean tide rushing inland. The US Tsunami Warning System issued a tsunami advisory for the West Coast states, Alaska, and H… See more",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Femersonmalone%2Ftonga-volcano-tsunami-advisory%3Fd_id%3D3054664%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR2I3SgI5BW1luylAm2urh-9Qw5GMywUavraeRp9nnXA-toK6ehT1oXuIKk&h=AT3bw1lxx5b8Cp54zPUMcNimGeBP1WmVKLk-WkVn9h3B-aYIdIUoJAtpU6BNdeuj1iU-5P5nOnO8iH2BpWnVJuB6kz4zVIiac7x0Gz6GHhOpwVOI6dywUivj5Rb2nJ6WwE_ozm8MawAyUcU6ULaJ&__tn__=%2CmH-R&c[0]=AT2tckRufgobG5YyJOL-JGitq1oAQ0hk3_myw2umrUPVQrWBEWXN5oeNSAPbwbTPDXkQaVOEi9QjUbfFMcbkDEvgpPS2bnZXNaQfF45aTOv3czYKt0g9s4CWXdLK1ChIk7sLCXMGayass5mCKCWZU29IIZUy9Z6kkOydKOif1M7BDvs,
5,BuzzFeed News,BuzzFeedNews,The massive blast caused atmospheric shock waves seen by orbiting weather satellites.,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fpiapeterson%2F7-photo-stories-that-will-challenge-your-view-of-the-world%3Fd_id%3D3053998%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR2erimRM2mc4wg-Ht5KMWTpoYaAnYy1KkMsMvjgGcJmc0SYxJV55bf_ZdA&h=AT16fHhFzAg8m9GoLKozEPSzDL4Df2O5QblXUzvSbgkI_0xCnkDRCMsIlysszuQN73i9BsTgsZXPUzroCbcxLBYjNSatnWiSJ3wCG1g2A6_r7A9IXV96JT92cl1fgwwe4OdqXSMBf1tS-SAR2Prc&__tn__=%2CmH-R&c[0]=AT2RU668DJVHr0FgOkVIxkXIaEPyssLaBl96oSuuNfdVQdAAAAMGRn7d5qX8LAdv_owQPKdGch0Ks8BfrWGBJbKHALdUh2D0TlmfePLViJK1LCnwXVvom5XbJPr-CXhDAbxKJDDSTKx22I8ATnWIdvHbLla1vtgibkZuKuT7bNFHbUM,
6,BuzzFeed News,BuzzFeedNews,Here are some of the most interesting and powerful photo stories from across the internet.,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fpaigeskinner%2Fthroat-swab-covid-test-tiktok%3Fd_id%3D3052114%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR0wKs7J9QUjL1qrbmkOZhZT8DsaOUz5bWBl2x_NCYcA6mTuzTVWcc1CYq0&h=AT1DV9mXYTj5nd3g2UVkOBaa8RmaKwpB_v9YTxGq0Yz6-RExcc8vBCLTjk4dOTgCS0EQZijmq3dW1ritce5h-36N4LYWdDulbW4bZrdYnwhEtyTdFtU40L-5b51vnpbyGfP_sUbR0TBa00Kd_02k&__tn__=%2CmH-R&c[0]=AT2w4r27DIRjkDAsme11rE0fBDStOgXL8V1QslHbYMJ0l-0eX5K_4Ra47daVayCHsGMUmmB09O9worXW7mDydCVDRwBgaLwS4hg5C5VFv0SH0tbw5nafLkTJ7WUtH18YxOcYLSrtRoG_gCFoCIH3SSQxLNTOZasjeGgQWivDnxEYwSg,
7,BuzzFeed News,BuzzFeedNews,"A viral TikTok had some people trying throat swabs for their at-home rapid COVID tests, but experts are warning against it.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fpaulmcleod%2F2022-elections-house-elections-overturn%3Fd_id%3D3052098%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR29iS3DdqXcX4YRMq2AeeekFi4ujnB1sQUnoj5TtZE7iHY1CRXFhRYCK2E&h=AT1K1p0bauQMN8ekhTYYlc1Ad_UkGgKrcFFmUQ5neI2p59O3Ra6tHUHFXF5BfMy3H8ItAsRze_iKEWVeptXhLz7SrxdfPXnKK1Jm5Y1vJ_Nj28oXTNCHjaPTSRU5WvzaJbzqwX9IANW5EHhEapTH&__tn__=%2CmH-R&c[0]=AT3r-gdMcB0hY5ee6epAn9FkwBpQY8vH7d6ec64LTJ9xBsX9vu5v2DQNum1wqyjlk4Ze6WW6yDia-xj410CgSvn5Z1U3nt9uqtzVHZ316B0E9VYAEHdBIJlLOQvK6wjdPgtgiP6mcXndAn7MdifxAwY1UAVGnuITq0a9A8bHkZSvpVM,
8,BuzzFeed News,BuzzFeedNews,America may not have to wait until 2024 to witness the next attempt to undo a free and fair election.,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Falbertsamaha%2Fkroger-essential-workers-two-years-pandemic%3Fd_id%3D3036792%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR0DLr2YrG8yAiODWBNDjEUal2e0Mh29wBwKV6n3h0HEJonucykAdAGfQqI&h=AT1GN4zSitkAweUUv3agfNIM_s25CSRlsGgj1r4rriQ0zOpmtqyiCzqBcC6ospsxbqJ8ulAPHjHtNe6Lwr5cwfecj3TCiSfMCGKUv3DveFBpQlLj1QkkaZyJNNu71-Dgm9fkm3T_aefxbvZmEhmm&__tn__=%2CmH-R&c[0]=AT3xdWgYLq5mZBBagN4RSMYaeNGBPaoeheAQr5tzszKBvaMRfIXKqAbGabOyQ0frvmdxpJXC57kRq611T3yyoFhLjFKjYT4dO26j8tzl0VwayITENmzYhRBePz3h_JeliQLdO-kE_vgWjNve4Nh_vn_CidyjLHtrzZ-s2p9D7yXxchU,
9,BuzzFeed News,BuzzFeedNews,"Current wage rates for people in hourly jobs leave some unhoused, unable to buy food, or collecting cans to pay the bills.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fsalvadorhernandez%2Ftiffany-haddish-arrested-suspected-dui%3Fd_id%3D3052311%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR3vsygCA0iizyn2H8d7AvYX0HeR-oLZYN8Y9vCqnsbGRCH3zHq4j_10yzc&h=AT2OeUazLi377jVmhVspz1-6PeSZL75CnmRm6OPr3ug_zejmJYUE8Q8R-zzDXHU4pwj8WCwlXl2MsyEdIYclQUNtdr7bFWsQpQFfiaAsL3lT6ehsyjRbY0HVBX6D43Y5hZ8pSFixdWPBebK-TBo8&__tn__=%2CmH-R&c[0]=AT2Atx0D4QOzVS4jHY7RguogPVKoZ3uH_gdJVR4B0d1QDyw__QCwx_q-Q5xw5MQ6tQNebtpa7wA8Je7Of-iVjX0aoeTv0WYXYo93pYdUlRnN2go2-zA4lyEFmTP3vuRHKmZn5T-bRrGuIukB_tDX-xO5T8jHGieQg4iydcWoZbYFsgg,
