,media name,media,post,link
0,BuzzFeed News,BuzzFeedNews,"For people under guardianship, like Britney Spears, the system can be dehumanizing, dangerous, and even deadly. For the professionals — who can control hundreds of people at a time — it can be very profitable.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fheidiblake%2Fconservatorship-investigation-free-britney-spears%3Fbffbuzzfeednews%26utm_term%3D4ldqpho%26fbclid%3DIwAR0FQ7a-mUEEFtzu2vCpytJEk-VIGo7-ClZpNie-2kuHvO5qY4WpX4KPyrg%234ldqpho&h=AT20dqfOOhgLVbFsTlHGCQPLLuWxpnGDC3Yf3_H05X1kdqbQh4MHDpHRj-0xZRcBRmASUO8X_V66spgsE7leLVpIGQyM6wPyL9M_821sU1EiJRPLpCbvRSY1cvEw2fp7WfXoo_oS2kdtdcMDSPCU&__tn__=%2CmH-R&c[0]=AT23h45xisPSawiwCzuGLD3M7rgsYopb4AQgCkay95vDMrK4a7TCnk71qlZIebnyFm-nyZj8oLjv9pyaZjlpkQvd8RbqtI8m9SiBl4zxq7EsD8S06PATkygU8T5voQfWw-WtokzdEiGri4fWQV8IPFJtubjLuHZiOKCpKjy6wJG2H7o
1,BuzzFeed News,BuzzFeedNews,"Satellite footage showed a massive plume of ash and smoke and atmospheric shock waves following the Hunga Tonga–Hunga Haʻapai underwater volcano near Tonga erupting. The boom was reportedly heard as far away as New Zealand (more than 1,200 miles away) and Anchorage, Alaska (more than 5,800 miles away). Footage from Tonga residents showed a swift, violent ocean tide rushing inland. The US Tsunami Warning System issued a tsunami advisory for the West Coast states, Alaska, and H… See more",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Femersonmalone%2Ftonga-volcano-tsunami-advisory%3Fd_id%3D3054664%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR3k72WcYCTA9uJSA0y_3KfQwiR8mnnEJ1S40XrFIBQB279sAR5WykAFeUI&h=AT3bRu0xoNmUNy9k0RFxZbsW3vE54gSkucq_0O6a8-6TjBOS5U_S69sifwxMnWFWs3w2xCvoCxCr8STcszzk7EF4ZdPrlRZcavffD5fKSmDGEuMFUdbSyTc1yQb1wAOKv2Z3HPGhr0CN8uL7oRKU&__tn__=%2CmH-R&c[0]=AT0EnveYXiLTWzg7xatzjcdjV4rpoiyQqxNTL75RvGzXEJgSwba3kQOYAqTRJtlRrc76uuSDaXwRh6Zzh_XqeHWphSbsG_NBDXvDz_fE3EKkm-YlWZAbm38C0bxKQuFpFMX5vx83_CxJ3-ncDjgk2SbbRBTodoY7bIZq8yKpMyjgJ4Q
2,BuzzFeed News,BuzzFeedNews,The massive blast caused atmospheric shock waves seen by orbiting weather satellites.,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fpiapeterson%2F7-photo-stories-that-will-challenge-your-view-of-the-world%3Fd_id%3D3053998%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR3vBueI7mCFoT8hJxJ2UG33kmrldwbL860-hxbMPlhhtr276x2VmI80Jbg&h=AT011NLzftj25_wQJ2GlK0FOEPzpH76FaCBrVRgbv21kvhZeX01L1OFsQpzrDoUNLZhojoz_6w0ARrzXvYu1-ZPaCb_yeZ45KJQhnUz7fBgB77J8BOKnHVuetqtDNZzIDyqFfv6WvcnaRlZUxK1S&__tn__=%2CmH-R&c[0]=AT0HS5aLh6o3570e47oEyLQkcFsl9Pr26mp5NzfSOaCOlO9GWuLDZOa5uLZsE7__Rb0j8h__ORlO1IUPTDM80o4GpSseb2WtiLs6B465Uw_wWfcJid1Re4yw8JWQk_tlLQ8bSab0yzMZz29PjuZeb6g_N77VjAZe3k5VxLNc5wruEaM
3,BuzzFeed News,BuzzFeedNews,Here are some of the most interesting and powerful photo stories from across the internet.,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fpaigeskinner%2Fthroat-swab-covid-test-tiktok%3Fd_id%3D3052114%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR0ZjPl2aXdaC_YlqaPUUaJJk9iIN3p8Rl_uqVzrULC-J_WweCrXtUEeV4A&h=AT3HRSpCzp7-NmQA_a4GIg9jP94wAu79yQR9b-08mzWOtK03ttfdNr1ofiT3KTa9qW9Je74EousbyAt_Jpe9xmNFHxEjtn67pyavcEVR86A5DAdwnfuqPmbKVgDpAgznC6KgE0Art0A0F3MxihcJ&__tn__=%2CmH-R&c[0]=AT1ddTrKcDtgDTje0BjREP8vkIx-MfvaACWBGJe8LyTByuSPUbe4Spv8nTmIm1180-_g2uWccfvlDYwt-4VmzXe-gxVOCQ230_ZUri1yzVI6zCWu0bgjd0FPox9x_ZHpP3NTfJppTLcQZIl_kN8QZtr_fTJa_kdaRtJYjDjgEioWBAc
4,BuzzFeed News,BuzzFeedNews,"A viral TikTok had some people trying throat swabs for their at-home rapid COVID tests, but experts are warning against it.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fpaulmcleod%2F2022-elections-house-elections-overturn%3Fd_id%3D3052098%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR0PUT8aYxEbjO0oS7QCgMqHFDpen-rckyD52zqW1LJI3vczG3LRemDkYNo&h=AT1njMQ6Q2WzSbej78-fvODpiD4XDVuYMaf43XQKdzNJ-ooJHWAmbpix5zU8dU1xpVDDeGe8TLnsuXSgUtKrJ7Ig9pyI9whwy7lou4Utbv1hqzcvLFmSxpcel-axtyblSpMXwiouyfdnY0hdWs4k&__tn__=%2CmH-R&c[0]=AT0-0ewDHXCYc-ELvRSP9iedpKs7ZGh6qy0_1-mRW7ZAB7G1nQxBr99_ZvWUNqAJ2_VTVas9PRhkON_XYwX_uInzI-KshsJ9NVF7xJHAAZdMyEBKD1nGalIJd8P9MxJayQeawofg-ULBSBsazhPAev2yUiRuRe534iza3vyO6P5WHxo
5,BuzzFeed News,BuzzFeedNews,America may not have to wait until 2024 to witness the next attempt to undo a free and fair election.,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Falbertsamaha%2Fkroger-essential-workers-two-years-pandemic%3Fd_id%3D3036792%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR1TaFqF0sPIRQBaDgmhL8l4yzOHCSEP_89W8akiQtZSns6wnlcGBaVzWEU&h=AT0E9-2cGgedYmOMfzJKF8A988JMeVQaYqTcIcG83XSE7LEUDTsWLmabg8--F8mK5lm5TtBNDykXdvmc6bsLxBoJ4fbpi1LZXZRNkkleiei_5cKT3AqisUcuScYp0uOBHTTp0DuQAYNdKmQRelon&__tn__=%2CmH-R&c[0]=AT1qbC_nOe1rSAe39jSbzXqVvGhN2UR8wk8kk4aNAyOwoLBQRlbQbkwXOshalQwVGumhJrtFa_zFHYR4kNkqhJxLma-R4CiphF2_-eYxLbgwSVUUd6KwFjjt3IbrF07iYqiQQv4JSe7hv-QMXqIU29dWcMBEvmRe-lM5KwCvQd3y3EY
6,BuzzFeed News,BuzzFeedNews,"Current wage rates for people in hourly jobs leave some unhoused, unable to buy food, or collecting cans to pay the bills.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fsalvadorhernandez%2Ftiffany-haddish-arrested-suspected-dui%3Fd_id%3D3052311%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR3p-QZdyDB_3tXvoS5HywF_H17Ox9yhgPIXyolsYnF-jNipH8v47m2LqzE&h=AT3avIrp1VqSbRVYsz8JKOtLNRQY-xVW4xvXQren38JZHW7EGsb_5lhOWrIchGI9fyvjIb7o1Jg0Ge9ofuhjo0dgn6ct3RAQdEWygi68ZDij3X6OrHSBHIpj5Z2ev3BY2tzw3Y5aw_rLlkA9XCsb&__tn__=%2CmH-R&c[0]=AT2LGYhjhFxiBEpeQxQgja3Ii9F5_0MXDrn17vTvhTAf6QzQQ37AIejkCtHnFXk45yIrWQjNOpbuaT9rf59nrJDqmkH_LzQFCken58KgymNQ7EN9KbF_FetTHJktJEZNawXVSQAFxmLyjQLtf7Spat-VXnbbCbPWwm9bpRL4Ajeo_3E
7,BuzzFeed News,BuzzFeedNews,"Actor and comedian Tiffany Haddish was arrested in Georgia on suspicion of driving under the influence, police said.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fnicolefallert%2Fchronic-illness-immunocompromised-omicron-fears%3Fd_id%3D3052023%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR1dvhCAKu85Oh3tKba6U3V0j2utTlMEQcEqi2ApqRfuSsOVKzVshWY0AmE&h=AT0YnKTHVSVt325kagIGH_TaiN5bTAVj00735AASmAHq13R7gJFg4tc0RSH_BeGxEz5KvuTVukik8sh-FyuikaNbZI_z3UuocQg4CXKA5jvxJK3qTCnIXKtYNMejnc6VWhXRue8DaYXV4na66ZuK&__tn__=%2CmH-R&c[0]=AT3WviiA1vPwxKBHV93qTt1Pqoqe7kDXuCEh9Olc-RRUUP-b-yq8vNVWgJp7MhH-PQ6Bob_O8g7-LCQvcmFEdGY72XikD-EZ__qXVKuqmPPtJLwCHZHSUXpaP1B937iijFqGRD-03nWkMqMDPyy5EeoOHZJaT9d-tOezarCzrvhDuHk
8,BuzzFeed News,BuzzFeedNews,“There’s no such thing as too cautious at this point if we want to protect chronically ill or disabled people.”,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fmallorypickett%2F500-million-rapid-covid-tests-biden%3Fd_id%3D3051288%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR2Xm1Boc032Xqis8QfcwwLD7mhPkQC9iZg1Hl1w4xs2n_kHs0rrApE9jn4&h=AT36ChFVPXoua9PautlkyL8aSZQIMJa6kK1ZYno0FnCGLUb3lbYrsgOV9SBnCO_wWt9YOtA5eLKtcwDkDlJBj1nUdl4C5bZGkxFqIU0JOQvreKlvsejl-Td6MiDcD3yJeoUsTQa78EU217X7RVp8&__tn__=%2CmH-R&c[0]=AT30qobAa9_2n3-7bfVa6CfTWOlmmbXvFjIk6lQM_EhW83JaojiHkh9PSFdjK96pNS3DScn37VARANDMGVlQXTRuF15zrUa3uUB0SCnGyg31AtyaXHwdAItTiZGWBcvs1_WUm3SYj778qETT9KF-ihQMoZqwZBe_NWIsdThdsA5Rb2E
9,BuzzFeed News,BuzzFeedNews,"The announcement is part of a plan to expand access to rapid testing, but most tests won’t be available for at least two weeks.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fadeonibada%2Ffat-athleisure-fashion-twitter%3Fd_id%3D3051191%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR1dvhCAKu85Oh3tKba6U3V0j2utTlMEQcEqi2ApqRfuSsOVKzVshWY0AmE&h=AT24NlOxmrmBjVDv3nNo-mL69kkm3rEo4UchiVTL5wtWkTbmdUbuIgKq2ohofZvP6-wcb6jGZAjOS6kN4gNJRpEJGo-DDXgLXUm_ZsSEmlUW_DVoiZf8xOgcv7tLIak2ppZHei70Cbu8SNN57sLS&__tn__=%2CmH-R&c[0]=AT0xORTPmlu_r9jeu7tfPMl2fAo4F5ACFz9T9ut_j_FdbbatVy1q7DaJgoCoGL0o74Dqt5bzy75BIIIJVrvmh7kdAxxV2anah41ACa2Fxz-Mvx8yHfkhzjhAg22uvLrmuhg5cbwZoGawGfIrIt7oW-Yq2Q_fWqE2jP-RfcAgpdynAks
