,media name,media,post,link,time
0,The New York Times,nytimes,Scientists say a microscopic battle between fungus and bacteria on the skin of hedgehogs provides evidence that antibiotic resistance can occur in nature. https://nyti.ms/3F6j0Er,https://l.facebook.com/l.php?u=https%3A%2F%2Fnyti.ms%2F3F6j0Er%3Ffbclid%3DIwAR1932Aegb7UgVACTvA1jxYvi0kgfwdml0tsY99o2TbTgMwAMz24mqX2-v4&h=AT24ihBJmx4KF70EB5sN_QY9foGHl6Ac-AnHmYwlXQ0boBzN2Bf-mgVbPvnim4oGtUKp9dpXf56Bshr6qmVaYB-lB_G9I55kIv7wu4yd3goMLs1llmPFa_rjqQJyZltlzthXon5byyi-ul19D0qS&__tn__=%2CmH-R&c[0]=AT36k41T8EGgKrHdTor5BmyuVnIXisxmhJJBALSGqRn-wxTyEAijPEYbmkYIwSgTF2E4rS8XOSAdOPuXTkVQfhPC0KwlrRy6QBT1F3NnPUUfBWMcxtnoDvRlAwr42kZsoP6yWtwMvA9HE2NeAd2i5z_wJAAilu5-OYutw-_pRoRyJ6f7,9h
1,The New York Times,nytimes,"From @[The New York Times Opinion Section]:In 2021, “I learned how to relax my muscles, to purposefully, systematically isolate each part of my body and loosen the meat on my bones,” Farhad Manjoo says. “Doing so regularly, once or several times a day, can be more or less instantly life changing.”",https://l.facebook.com/l.php?u=https%3A%2F%2Fnyti.ms%2F3t6cDPi%3Ffbclid%3DIwAR2A4GB8A_Mex4wiRk5vWrZyi1pvLgjbX0ZYH4frdms08YavhlooEOU_Bb8&h=AT30Kx7Ul8w6UVhNn5PefpVi-dzsySSjfZVmyFYeruHV1hZCH0O7CLfme-56t5y7P2r38rNnTYXnJNLrS74xeNqtTVk5ssNMzsc2Pywsr7ESaWkEjh0ca9mOPkoT546LJeUpUNgzWN6Z4gZFg-0m&__tn__=%2CmH-R&c[0]=AT25NIwOVPRROTjZhODcAshwUgEuSJDWYVoKdVbmKybrS51W_ERLE4nJi9LStAoIuxVAL9nZYueh0jgKHd8C_0IUPXG9A-hGYKvF-No9H-voP5EZvU21wwusMLDmtLSaNDAR_g-Qmweqh5PwSUTgHaPl-KtSyD1kxdFgI8hB3XdyheG9,10h
2,The New York Times,nytimes,Did you follow the news this week? Take our quiz to see how well you stack up with other Times readers. https://nyti.ms/3q776pR,https://l.facebook.com/l.php?u=https%3A%2F%2Fnyti.ms%2F3q776pR%3Ffbclid%3DIwAR3wiCZwIhyYGRUGW2xcCmz1asOoqdibkT3Enk4__y_WeF4zKQKDQh9Sux0&h=AT2QHp6MrVrvXFK4q_96d62HcmA4Vur5Dyb2p_7ONzwm4kwmQaiNvAe7bxxhOLzsONroDAXQbzopGNO2a1Er8tO0Q7EaTO2rSvAXQHHIcxo27GfUFSCCTilZW4EWVcw7uLBUMp190vs3yXV5EotA&__tn__=%2CmH-R&c[0]=AT12jKEHl1p8GG47k1S7TE2ZG8IyxBcXQGIAMvxZWSmHqUhtxSorFz0pS0MgQHbqDnWwR6tfKNJTqU8Hw3xM2M4QgppluBcevUc-l2lIC90BueCwas4vKbmnLfqqDwjtx9qDmIK2KqokKyT3pwF7wqaPQdDBh_XcCExpnM5dn-c8IyUy,11h
3,The New York Times,nytimes,"As Kazakhstan erupted in violence and protests, its president asked Russia for aid. That choice could alter the balance of power in Central Asia.",https://l.facebook.com/l.php?u=https%3A%2F%2Fnyti.ms%2F3f4KCzp%3Ffbclid%3DIwAR1DNOBjfjw7d6CDT5ZejUuk_t9iMFAKW7rqLXCbSF_vktrYcDflJUIn0bU&h=AT0Weca-f_9IkksZbs8F9q-38thxWHAj1tO4hDjXDdFyK6pkBe4VrSCtqrpk7_Je6PxcW-KaJo5WowJHRHp1bOLpaTSiK3ThbwC6z38w_pwfdlf9iYJLsLPnjasRxk647qm21YOHrWU8kGswz3Hl&__tn__=%2CmH-R&c[0]=AT3_OUNRIjzNI6HNXpBOvK3w6fCXKYhvjb3pRBpwOLBWQ_AmQ8QponJr3jZIx-ddXlADthqOCGR3Gdv66FtfyyFfw11Rrn1rHspONgy42DT_sNUhLBrrsMApSQjjOPVuX3wMBa81xdMLFPDZSkkB32e68J_NebcGRurc8oYuHL-R6em2,11h
4,The New York Times,nytimes,"Xi’an, a city of 13 million people, has been under lockdown since Dec. 22, the longest in China since the first lockdown in Wuhan. Food and medical shortages have prompted questions about how much longer the country's zero-Covid strategy can go on.",https://nyti.ms/3FcYkek?fbclid=IwAR0H-vBw_ojRlHlhUTlmUxmpW-tG2cbP9vvggo9K2c8qxDftZW8485rPoF8,12h
5,The New York Times,nytimes,"While there are plenty of prestige series hitting screens over the next three months, here are 20 new or slightly lower-profile shows to watch out for. https://nyti.ms/3FcYkek",https://l.facebook.com/l.php?u=https%3A%2F%2Fnyti.ms%2F3faXWC9%3Ffbclid%3DIwAR3vCjm0g5xORzLM625lAdVwNE4cR8jCFpxrvJSvbzK-ADyZsij2esbNnmk&h=AT2x1LrI_nrLeEJryCapVjyJ3zYnSNJCAaDjf27agsed7xJlNEWV8sBwuBsr_Q9TUgZQSy3AEYoYCnrFia_yr6ZWLOcJKCT-xdK8HV6vvWz-C152uHiUo8E8s-k1kn0uNy4AfarM5P-7FtaBwnl-&__tn__=%2CmH-R&c[0]=AT2FN73y3P-zBaHVbEPKjMUTlmJlYupu_7ocAKJ_e9CgNNyvfhSqQhC_vyem0JtoOkugEabXlVH_jhk8tV7SotXqE6qN7VecS7epWB3ga8VBgF1C4dQVgr-XZCVT3iGxfYNDbyNToB79kriiCDlwqix-yjCiLOZzAtRaQwwcp6vowmwA,13h
6,The New York Times,nytimes,The Winter Olympics in Beijing are right around the corner (Feb. 4). Here’s a look at every sport at the Games. https://nyti.ms/3faXWC9,https://l.facebook.com/l.php?u=https%3A%2F%2Fnyti.ms%2F3GdBkgo%3Ffbclid%3DIwAR2WRKK9ENy75L-1gIJ9KHo4Loo4oF-g-BNwlKaAk3ZFk18TsFDm4pY3aJ8&h=AT1cNQ8qFGaLyYqJr87iJbsK06qHw5B8dmfFuV4EwY542D0ZiDk_AHdfX1RXQgFu1Ok8EMw_nqrV0X4Fz50ibZmCaVlUmiN7B13cm4Ue0wmJPnQnWUWigHUhXAsZx-tmVR-9_5OFuPIWpKaVhYGN&__tn__=%2CmH-R&c[0]=AT1elV32NKcD3wvp92KmMLzhzkYklWXwFqXApu7p47o6pm2YeO9cFQYEGJVaCrzOaJaVDLRDoyFAfdvfYycyaRMeG502WgB0ct6RMasNoDYFCRYghCAterI6_zj3IMHZSCK4x_668en4suv9CvKHD3E2feaJJ_00WEsl7tHlEYI4NNHl,14h
7,The New York Times,nytimes,"Skiing is an endangered sport, caught between a warming planet and a global pandemic. But now ski touring, or uphill skiing, is growing in popularity. Here's why.",https://l.facebook.com/l.php?u=https%3A%2F%2Fnyti.ms%2F3n824rh%3Ffbclid%3DIwAR1RRpDJd1_tnj8XL1_dviWCPrj9PHfrJ_ETChBX6UP3xzmMdgVtkvgrDlk&h=AT3PxflXOfVa4DklgDIa4ToaiULLvOR7HPQn5ocXkQlV0uQXpkNJeBk4aVtz6IclkO3BMk_ryenXkzNulmcpYeG-Z53qahXpIQGxFGeuAGLCI-22X648TuCUazSFbdMfAaBHaHVtW-k6rB9KA3Dz&__tn__=%2CmH-R&c[0]=AT0Wx9sgMJMPid1NLmRNJYXnnb8WrkDv-AGbJhLw7i04Axzp6y0POhp7lMMTA4Jgbi7k-vVPFMdKjdAElv43cRht-n9rzCMK778IfcO2O1xr-FdHfdqTOsVwy7IWj3NwqTzMGjp6IlFXA15hDa7F-KKkoDGQWV8SUpvu8RIIMUfizg6a,15h
8,The New York Times,nytimes,"Max Julien, the sultry, soft-voiced actor and screenwriter who rose to pop-culture prominence with his starring role in the 1973 film “The Mack,” died on Jan. 1 at a hospital in Los Angeles. He was 88.",https://l.facebook.com/l.php?u=https%3A%2F%2Fnyti.ms%2F34vYaC1%3Ffbclid%3DIwAR2NB-8KOLnQ7ZzHKpzdkIB3HU7XBpZ4A0GjAXnHo0S5JbY7gLY9lwZ5cz4&h=AT1kU3jQw-vAt9Rwmeq3Pp2_aRGVnZIIldkLfIQxW1JI3DdBT8tlkqbb3MSPdPcvYCQ-veFeSH2oDTkWHLjM6oww4osVmocWrs7GUGW7dHC09PD4qoSrMM2Wc_2jNONNTcZGfPzaAXUIkc-lm8xs&__tn__=%2CmH-R&c[0]=AT0UTEqx_YJavCkGwVW29TPuS4zRvqime6B6PuuGM9ttuUkS1fhuCqaIKcoE3-pLSGbWZQQpg8Nd3E9fCNY6j5uxAatEkarcE41RgTEKhqhyZLFM2tey5tYPfoHzt0pYwTMh5jDVGfglcA5WPQGI952dlyoXli8iRRf0AZHhoOeJ-mRe,15h
9,The New York Times,nytimes,"Never miss a meteor shower, eclipse or rocket launch again. https://nyti.ms/3f1zenS",https://l.facebook.com/l.php?u=https%3A%2F%2Fnyti.ms%2F3HJbpNW%3Ffbclid%3DIwAR0q2FZrTvl3QOqL2UjlNw-pmFpHbXbUXvZhqbukfimt0XZirElycj2Y77Y&h=AT1u7DtfrlPjgM5PbZvrLbfbHObIM6Ru0PVHJbTHgdT7lMq22dlgTW4iYc4dsyUkdt6CxXJaJo9ND16avjcJa9qRXD89D32B8eOP2NcFU-aictNltcchQQn_A_i2bxEOQKAAz8EFqxeRW-c4RLtP&__tn__=%2CmH-R&c[0]=AT3O5Si2YWlHCWz6MVEXFfeZ11Rja8gOICrKPpkeK0GJzk41E0yDwXuSxnoI20VMFIEw0ISKoL0pF9JW83ekWmAaQzMv7wBDX1VSOkjZRq4ss_x9LbFdvYtbmTKHUUk1-Z7L8pNMfcy55sBrj6bc0J7rU9elhQ7lAmAgIypBM4MgzjQP,16h
